benchmark,variant,seed,workload_scale,config,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
interrupt_race_bug,failing,3,short,baseline_no_recorder,compiler_c_scaled,true,1539,338,0,0,0.002368,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,4,short,baseline_no_recorder,compiler_c_scaled,true,1539,338,0,0,0.002146,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,5,short,baseline_no_recorder,compiler_c_scaled,true,1539,338,0,0,0.002149,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,1,medium,baseline_no_recorder,compiler_c_scaled,true,5955,1298,0,0,0.002862,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,2,medium,baseline_no_recorder,compiler_c_scaled,true,5955,1298,0,0,0.002823,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,3,medium,baseline_no_recorder,compiler_c_scaled,true,5955,1298,0,0,0.002855,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,4,medium,baseline_no_recorder,compiler_c_scaled,true,5955,1298,0,0,0.002906,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,5,medium,baseline_no_recorder,compiler_c_scaled,true,5955,1298,0,0,0.002871,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,1,long,baseline_no_recorder,compiler_c_scaled,true,23619,5138,0,0,0.005604,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,2,long,baseline_no_recorder,compiler_c_scaled,true,23619,5138,0,0,0.006103,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,3,long,baseline_no_recorder,compiler_c_scaled,true,23619,5138,0,0,0.005723,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,4,long,baseline_no_recorder,compiler_c_scaled,true,23619,5138,0,0,0.005653,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,5,long,baseline_no_recorder,compiler_c_scaled,true,23619,5138,0,0,0.005728,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,1,stress,baseline_no_recorder,compiler_c_scaled,true,94275,20498,0,0,0.016661,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,2,stress,baseline_no_recorder,compiler_c_scaled,true,94275,20498,0,0,0.016735,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,3,stress,baseline_no_recorder,compiler_c_scaled,true,94275,20498,0,0,0.017846,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
