bug_id,area,architecture,recorder_config,benchmark,variant,seed,workload_scale,memory_words,buffer_depth,target,flow,current_status,error_code,first_failure_stage,root_cause,evidence_file,required_for_zero_fail,fix_status,notes
V2ZF-00052,ORIGINAL_REPLAY,v2,full,watchdog_timeout_bug,no_failure_edge,3,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00053,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,1,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00054,PAYLOAD_HASH,v2,full,sensor_threshold_bug,failing,1,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00055,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,1,short,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00056,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,2,short,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00057,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,3,short,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00058,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,4,short,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00059,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,5,short,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00060,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,1,medium,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00061,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,2,medium,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
