architecture,recorder_config,benchmark,variant,seed,workload_scale,baseline,measured_or_estimated,bytes,events,replay_success,final_signature_match,event_match,reduction_vs_full_instruction_pct,reduction_vs_full_commit_pct,reduction_vs_snapshot_pct,notes
baseline,baseline,watchdog_timeout_bug,failing,1,medium,full_instruction_trace,ESTIMATED,10464,1308,NA,NA,NA,0.00,50.00,-155.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,1,medium,full_commit_trace,ESTIMATED,20928,1308,NA,NA,NA,-100.00,0.00,-410.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,1,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,60.86,80.43,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,1,medium,v1_full,MEASURED,10878,518,true,PASS,PASS,-3.96,48.02,-165.58,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,1,medium,v2_core,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,1,medium,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,1,medium,v2_full,MEASURED,1928,241,true,PASS,PASS,81.57,90.79,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,1,short,full_instruction_trace,ESTIMATED,2784,348,NA,NA,NA,0.00,50.00,32.03,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,1,short,full_commit_trace,ESTIMATED,5568,348,NA,NA,NA,-100.00,0.00,-35.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,1,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-47.13,26.44,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,1,short,v1_full,MEASURED,2814,134,true,PASS,PASS,-1.08,49.46,31.30,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,1,short,v2_core,MEASURED,8,1,true,PASS,PASS,99.71,99.86,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,1,short,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.71,99.86,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,1,short,v2_full,MEASURED,1928,241,true,PASS,PASS,30.75,65.37,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,1,smoke,full_instruction_trace,ESTIMATED,208,26,NA,NA,NA,0.00,50.00,94.92,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,1,smoke,full_commit_trace,ESTIMATED,416,26,NA,NA,NA,-100.00,0.00,89.84,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,1,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-1869.23,-884.62,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,1,smoke,v1_full,MEASURED,147,7,true,PASS,PASS,29.33,64.66,96.41,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,1,smoke,v2_core,MEASURED,8,1,true,PASS,PASS,96.15,98.08,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,1,smoke,v2_hashed,MEASURED,8,1,true,PASS,PASS,96.15,98.08,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,1,smoke,v2_full,MEASURED,280,35,true,PASS,PASS,-34.62,32.69,93.16,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,1,stress,full_instruction_trace,ESTIMATED,164064,20508,NA,NA,NA,0.00,50.00,-3905.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,1,stress,full_commit_trace,ESTIMATED,328128,20508,NA,NA,NA,-100.00,0.00,-7910.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,1,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,97.50,98.75,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,1,stress,v1_full,MEASURED,172158,8198,true,PASS,PASS,-4.93,47.53,-4103.08,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,1,stress,v2_core,MEASURED,8,1,true,PASS,PASS,100.00,100.00,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,1,stress,v2_hashed,MEASURED,8,1,true,PASS,PASS,100.00,100.00,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,1,stress,v2_full,MEASURED,1928,241,true,PASS,PASS,98.82,99.41,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,2,long,full_instruction_trace,ESTIMATED,41184,5148,NA,NA,NA,0.00,50.00,-905.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,2,long,full_commit_trace,ESTIMATED,82368,5148,NA,NA,NA,-100.00,0.00,-1910.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,2,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.05,95.03,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,2,long,v1_full,MEASURED,43134,2054,true,PASS,PASS,-4.73,47.63,-953.08,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,2,long,v2_core,MEASURED,8,1,true,PASS,PASS,99.98,99.99,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,2,long,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.98,99.99,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,2,long,v2_full,MEASURED,1928,241,true,PASS,PASS,95.32,97.66,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,2,medium,full_instruction_trace,ESTIMATED,10464,1308,NA,NA,NA,0.00,50.00,-155.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,2,medium,full_commit_trace,ESTIMATED,20928,1308,NA,NA,NA,-100.00,0.00,-410.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,2,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,60.86,80.43,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,2,medium,v1_full,MEASURED,10878,518,true,PASS,PASS,-3.96,48.02,-165.58,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,2,medium,v2_core,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,2,medium,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,2,medium,v2_full,MEASURED,1928,241,true,PASS,PASS,81.57,90.79,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,2,short,full_instruction_trace,ESTIMATED,2784,348,NA,NA,NA,0.00,50.00,32.03,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,2,short,full_commit_trace,ESTIMATED,5568,348,NA,NA,NA,-100.00,0.00,-35.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,2,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-47.13,26.44,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,2,short,v1_full,MEASURED,2814,134,true,PASS,PASS,-1.08,49.46,31.30,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,2,short,v2_core,MEASURED,8,1,true,PASS,PASS,99.71,99.86,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,2,short,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.71,99.86,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,2,short,v2_full,MEASURED,1928,241,true,PASS,PASS,30.75,65.37,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,2,smoke,full_instruction_trace,ESTIMATED,208,26,NA,NA,NA,0.00,50.00,94.92,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,2,smoke,full_commit_trace,ESTIMATED,416,26,NA,NA,NA,-100.00,0.00,89.84,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,2,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-1869.23,-884.62,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,2,smoke,v1_full,MEASURED,147,7,true,PASS,PASS,29.33,64.66,96.41,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,2,smoke,v2_core,MEASURED,8,1,true,PASS,PASS,96.15,98.08,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,2,smoke,v2_hashed,MEASURED,8,1,true,PASS,PASS,96.15,98.08,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,2,smoke,v2_full,MEASURED,280,35,true,PASS,PASS,-34.62,32.69,93.16,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,2,stress,full_instruction_trace,ESTIMATED,164064,20508,NA,NA,NA,0.00,50.00,-3905.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,2,stress,full_commit_trace,ESTIMATED,328128,20508,NA,NA,NA,-100.00,0.00,-7910.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,2,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,97.50,98.75,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,2,stress,v1_full,MEASURED,172158,8198,true,PASS,PASS,-4.93,47.53,-4103.08,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,2,stress,v2_core,MEASURED,8,1,true,PASS,PASS,100.00,100.00,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,2,stress,v2_hashed,MEASURED,8,1,true,PASS,PASS,100.00,100.00,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,2,stress,v2_full,MEASURED,1928,241,true,PASS,PASS,98.82,99.41,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,3,long,full_instruction_trace,ESTIMATED,41184,5148,NA,NA,NA,0.00,50.00,-905.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,3,long,full_commit_trace,ESTIMATED,82368,5148,NA,NA,NA,-100.00,0.00,-1910.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,3,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.05,95.03,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,3,long,v1_full,MEASURED,43134,2054,true,PASS,PASS,-4.73,47.63,-953.08,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,3,long,v2_core,MEASURED,8,1,true,PASS,PASS,99.98,99.99,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,3,long,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.98,99.99,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,3,long,v2_full,MEASURED,1928,241,true,PASS,PASS,95.32,97.66,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,3,medium,full_instruction_trace,ESTIMATED,10464,1308,NA,NA,NA,0.00,50.00,-155.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,3,medium,full_commit_trace,ESTIMATED,20928,1308,NA,NA,NA,-100.00,0.00,-410.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,3,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,60.86,80.43,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,3,medium,v1_full,MEASURED,10878,518,true,PASS,PASS,-3.96,48.02,-165.58,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,3,medium,v2_core,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,3,medium,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,3,medium,v2_full,MEASURED,1928,241,true,PASS,PASS,81.57,90.79,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,3,short,full_instruction_trace,ESTIMATED,2784,348,NA,NA,NA,0.00,50.00,32.03,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,3,short,full_commit_trace,ESTIMATED,5568,348,NA,NA,NA,-100.00,0.00,-35.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,3,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-47.13,26.44,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,3,short,v1_full,MEASURED,2814,134,true,PASS,PASS,-1.08,49.46,31.30,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,3,short,v2_core,MEASURED,8,1,true,PASS,PASS,99.71,99.86,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,3,short,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.71,99.86,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,3,short,v2_full,MEASURED,1928,241,true,PASS,PASS,30.75,65.37,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,3,smoke,full_instruction_trace,ESTIMATED,208,26,NA,NA,NA,0.00,50.00,94.92,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,3,smoke,full_commit_trace,ESTIMATED,416,26,NA,NA,NA,-100.00,0.00,89.84,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,3,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-1869.23,-884.62,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,3,smoke,v1_full,MEASURED,147,7,true,PASS,PASS,29.33,64.66,96.41,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,3,smoke,v2_core,MEASURED,8,1,true,PASS,PASS,96.15,98.08,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,3,smoke,v2_hashed,MEASURED,8,1,true,PASS,PASS,96.15,98.08,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,3,smoke,v2_full,MEASURED,280,35,true,PASS,PASS,-34.62,32.69,93.16,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,3,stress,full_instruction_trace,ESTIMATED,164064,20508,NA,NA,NA,0.00,50.00,-3905.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,3,stress,full_commit_trace,ESTIMATED,328128,20508,NA,NA,NA,-100.00,0.00,-7910.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,3,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,97.50,98.75,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,3,stress,v1_full,MEASURED,172158,8198,true,PASS,PASS,-4.93,47.53,-4103.08,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,3,stress,v2_core,MEASURED,8,1,true,PASS,PASS,100.00,100.00,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,3,stress,v2_hashed,MEASURED,8,1,true,PASS,PASS,100.00,100.00,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,3,stress,v2_full,MEASURED,1928,241,true,PASS,PASS,98.82,99.41,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,4,long,full_instruction_trace,ESTIMATED,41184,5148,NA,NA,NA,0.00,50.00,-905.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,4,long,full_commit_trace,ESTIMATED,82368,5148,NA,NA,NA,-100.00,0.00,-1910.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,4,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.05,95.03,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,4,long,v1_full,MEASURED,43134,2054,true,PASS,PASS,-4.73,47.63,-953.08,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,4,long,v2_core,MEASURED,8,1,true,PASS,PASS,99.98,99.99,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,4,long,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.98,99.99,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,4,long,v2_full,MEASURED,1928,241,true,PASS,PASS,95.32,97.66,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,4,medium,full_instruction_trace,ESTIMATED,10464,1308,NA,NA,NA,0.00,50.00,-155.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,4,medium,full_commit_trace,ESTIMATED,20928,1308,NA,NA,NA,-100.00,0.00,-410.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,4,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,60.86,80.43,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,4,medium,v1_full,MEASURED,10878,518,true,PASS,PASS,-3.96,48.02,-165.58,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,4,medium,v2_core,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,4,medium,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,4,medium,v2_full,MEASURED,1928,241,true,PASS,PASS,81.57,90.79,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,4,short,full_instruction_trace,ESTIMATED,2784,348,NA,NA,NA,0.00,50.00,32.03,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,4,short,full_commit_trace,ESTIMATED,5568,348,NA,NA,NA,-100.00,0.00,-35.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,4,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-47.13,26.44,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,4,short,v1_full,MEASURED,2814,134,true,PASS,PASS,-1.08,49.46,31.30,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,4,short,v2_core,MEASURED,8,1,true,PASS,PASS,99.71,99.86,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,4,short,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.71,99.86,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,4,short,v2_full,MEASURED,1928,241,true,PASS,PASS,30.75,65.37,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,4,smoke,full_instruction_trace,ESTIMATED,208,26,NA,NA,NA,0.00,50.00,94.92,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,4,smoke,full_commit_trace,ESTIMATED,416,26,NA,NA,NA,-100.00,0.00,89.84,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,4,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-1869.23,-884.62,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,4,smoke,v1_full,MEASURED,147,7,true,PASS,PASS,29.33,64.66,96.41,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,4,smoke,v2_core,MEASURED,8,1,true,PASS,PASS,96.15,98.08,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,4,smoke,v2_hashed,MEASURED,8,1,true,PASS,PASS,96.15,98.08,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,4,smoke,v2_full,MEASURED,280,35,true,PASS,PASS,-34.62,32.69,93.16,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,4,stress,full_instruction_trace,ESTIMATED,164064,20508,NA,NA,NA,0.00,50.00,-3905.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,4,stress,full_commit_trace,ESTIMATED,328128,20508,NA,NA,NA,-100.00,0.00,-7910.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,4,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,97.50,98.75,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,4,stress,v1_full,MEASURED,172158,8198,true,PASS,PASS,-4.93,47.53,-4103.08,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,4,stress,v2_core,MEASURED,8,1,true,PASS,PASS,100.00,100.00,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,4,stress,v2_hashed,MEASURED,8,1,true,PASS,PASS,100.00,100.00,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,4,stress,v2_full,MEASURED,1928,241,true,PASS,PASS,98.82,99.41,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,5,long,full_instruction_trace,ESTIMATED,41184,5148,NA,NA,NA,0.00,50.00,-905.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,5,long,full_commit_trace,ESTIMATED,82368,5148,NA,NA,NA,-100.00,0.00,-1910.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,5,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.05,95.03,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,5,long,v1_full,MEASURED,43134,2054,true,PASS,PASS,-4.73,47.63,-953.08,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,5,long,v2_core,MEASURED,8,1,true,PASS,PASS,99.98,99.99,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,5,long,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.98,99.99,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,5,long,v2_full,MEASURED,1928,241,true,PASS,PASS,95.32,97.66,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,5,medium,full_instruction_trace,ESTIMATED,10464,1308,NA,NA,NA,0.00,50.00,-155.47,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,5,medium,full_commit_trace,ESTIMATED,20928,1308,NA,NA,NA,-100.00,0.00,-410.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,5,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,60.86,80.43,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,5,medium,v1_full,MEASURED,10878,518,true,PASS,PASS,-3.96,48.02,-165.58,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,5,medium,v2_core,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,5,medium,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,5,medium,v2_full,MEASURED,1928,241,true,PASS,PASS,81.57,90.79,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,5,short,full_instruction_trace,ESTIMATED,2784,348,NA,NA,NA,0.00,50.00,32.03,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,5,short,full_commit_trace,ESTIMATED,5568,348,NA,NA,NA,-100.00,0.00,-35.94,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,5,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-47.13,26.44,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,5,short,v1_full,MEASURED,2814,134,true,PASS,PASS,-1.08,49.46,31.30,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,5,short,v2_core,MEASURED,8,1,true,PASS,PASS,99.71,99.86,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,5,short,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.71,99.86,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,5,short,v2_full,MEASURED,1928,241,true,PASS,PASS,30.75,65.37,52.93,MEASURED v2 exported capsule
baseline,baseline,watchdog_timeout_bug,failing,5,smoke,full_instruction_trace,ESTIMATED,208,26,NA,NA,NA,0.00,50.00,94.92,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,watchdog_timeout_bug,failing,5,smoke,full_commit_trace,ESTIMATED,416,26,NA,NA,NA,-100.00,0.00,89.84,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,watchdog_timeout_bug,failing,5,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-1869.23,-884.62,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,watchdog_timeout_bug,failing,5,smoke,v1_full,MEASURED,147,7,true,PASS,PASS,29.33,64.66,96.41,MEASURED v1 workload capsule
v2,core,watchdog_timeout_bug,failing,5,smoke,v2_core,MEASURED,8,1,true,PASS,PASS,96.15,98.08,99.80,MEASURED v2 exported capsule
v2,hashed,watchdog_timeout_bug,failing,5,smoke,v2_hashed,MEASURED,8,1,true,PASS,PASS,96.15,98.08,99.80,MEASURED v2 exported capsule
v2,full,watchdog_timeout_bug,failing,5,smoke,v2_full,MEASURED,280,35,true,PASS,PASS,-34.62,32.69,93.16,MEASURED v2 exported capsule
