architecture,recorder_config,buffer_depth,workload_scale,overflow_rate_pct,replay_success_rate_pct,median_capsule_bytes,median_events,n,notes
v2,diagnostic,4,short,100.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,4,smoke,73.333333,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,4,stress,100.000000,NA,127816.000000,10650.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,8,long,100.000000,NA,31972.000000,2663.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,8,medium,100.000000,NA,8008.000000,666.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,8,short,100.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,8,smoke,60.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,8,stress,100.000000,NA,127816.000000,10650.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,16,long,100.000000,NA,31972.000000,2663.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,16,medium,100.000000,NA,8008.000000,666.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,16,short,100.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,16,smoke,60.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,16,stress,100.000000,NA,127816.000000,10650.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,32,long,100.000000,NA,31972.000000,2663.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,32,medium,100.000000,NA,8008.000000,666.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,32,short,100.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,32,smoke,60.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,32,stress,100.000000,NA,127816.000000,10650.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,64,long,100.000000,NA,31972.000000,2663.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,64,medium,100.000000,NA,8008.000000,666.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,64,short,100.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,64,smoke,60.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,64,stress,100.000000,NA,127816.000000,10650.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,128,long,100.000000,NA,31972.000000,2663.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,128,medium,100.000000,NA,8008.000000,666.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,128,short,60.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,128,smoke,60.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,128,stress,100.000000,NA,127816.000000,10650.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,256,long,100.000000,NA,31972.000000,2663.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,256,medium,100.000000,NA,8008.000000,666.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,256,short,0.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,256,smoke,0.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,256,stress,100.000000,NA,127816.000000,10650.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,512,long,100.000000,NA,31972.000000,2663.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,512,medium,60.000000,NA,8008.000000,666.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,512,short,0.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,512,smoke,0.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,512,stress,100.000000,NA,127816.000000,10650.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,1024,long,100.000000,NA,31972.000000,2663.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,1024,medium,0.000000,NA,8008.000000,666.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,1024,short,0.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,1024,smoke,0.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,1024,stress,100.000000,NA,127816.000000,10650.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,2048,long,60.000000,NA,31972.000000,2663.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
