benchmark,variant,seed,config,firmware_source,compiler_backed,cycles_to_completion,cycles_to_failure,commits_to_completion,commits_to_failure,event_count,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
stack_corruption_bug,failing,1,baseline_no_recorder,compiler_c,true,NA,62,NA,16,0,0,0.006223,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,failing,1,recorder_present_disabled,compiler_c,true,NA,62,NA,16,0,0,0.005896,0.00,0.00,-5.25,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,failing,1,recorder_enabled,compiler_c,true,NA,62,NA,16,4,84,0.005809,0.00,0.00,-6.65,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,failing,2,baseline_no_recorder,compiler_c,true,NA,62,NA,16,0,0,0.005994,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,failing,2,recorder_present_disabled,compiler_c,true,NA,62,NA,16,0,0,0.006060,0.00,0.00,1.10,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,failing,2,recorder_enabled,compiler_c,true,NA,62,NA,16,4,84,0.006214,0.00,0.00,3.67,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,failing,3,baseline_no_recorder,compiler_c,true,NA,62,NA,16,0,0,0.006060,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,failing,3,recorder_present_disabled,compiler_c,true,NA,62,NA,16,0,0,0.005816,0.00,0.00,-4.03,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,failing,3,recorder_enabled,compiler_c,true,NA,62,NA,16,4,84,0.006101,0.00,0.00,0.68,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,fixed,1,baseline_no_recorder,compiler_c,true,100000,NA,33327,NA,0,0,0.014222,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,fixed,1,recorder_present_disabled,compiler_c,true,100000,NA,33327,NA,0,0,0.099794,0.00,0.00,601.69,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,fixed,1,recorder_enabled,compiler_c,true,100000,NA,33327,NA,256,5376,0.112768,0.00,0.00,692.91,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,fixed,2,baseline_no_recorder,compiler_c,true,100000,NA,33327,NA,0,0,0.013984,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,fixed,2,recorder_present_disabled,compiler_c,true,100000,NA,33327,NA,0,0,0.098393,0.00,0.00,603.61,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,fixed,2,recorder_enabled,compiler_c,true,100000,NA,33327,NA,256,5376,0.100456,0.00,0.00,618.36,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,fixed,3,baseline_no_recorder,compiler_c,true,100000,NA,33327,NA,0,0,0.014798,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,fixed,3,recorder_present_disabled,compiler_c,true,100000,NA,33327,NA,0,0,0.099247,0.00,0.00,570.68,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
stack_corruption_bug,fixed,3,recorder_enabled,compiler_c,true,100000,NA,33327,NA,256,5376,0.101959,0.00,0.00,589.01,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,failing,1,baseline_no_recorder,compiler_c,true,NA,67,NA,17,0,0,0.006126,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,failing,1,recorder_present_disabled,compiler_c,true,NA,67,NA,17,0,0,0.005847,0.00,0.00,-4.55,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,failing,1,recorder_enabled,compiler_c,true,NA,67,NA,17,5,105,0.005651,0.00,0.00,-7.75,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,failing,2,baseline_no_recorder,compiler_c,true,NA,67,NA,17,0,0,0.005616,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,failing,2,recorder_present_disabled,compiler_c,true,NA,67,NA,17,0,0,0.006016,0.00,0.00,7.12,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,failing,2,recorder_enabled,compiler_c,true,NA,67,NA,17,5,105,0.005803,0.00,0.00,3.33,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,failing,3,baseline_no_recorder,compiler_c,true,NA,67,NA,17,0,0,0.005730,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,failing,3,recorder_present_disabled,compiler_c,true,NA,67,NA,17,0,0,0.005727,0.00,0.00,-0.05,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,failing,3,recorder_enabled,compiler_c,true,NA,67,NA,17,5,105,0.006492,0.00,0.00,13.30,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
