recorder_config,benchmark,variant,seed,workload_scale,cycles,commits,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,notes
full,sensor_threshold_bug,failing,2,medium,6013,1312,0.012617,0.00,0.00,91.20,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
minimal,sensor_threshold_bug,failing,3,medium,6013,1312,0.012547,0.00,0.00,90.54,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
core,sensor_threshold_bug,failing,3,medium,6013,1312,0.012425,0.00,0.00,88.69,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
hashed,sensor_threshold_bug,failing,3,medium,6013,1312,0.012186,0.00,0.00,85.06,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,3,medium,6013,1312,0.013242,0.00,0.00,101.09,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
full,sensor_threshold_bug,failing,3,medium,6013,1312,0.012035,0.00,0.00,82.76,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
minimal,sensor_threshold_bug,failing,4,medium,6013,1312,0.012941,0.00,0.00,89.42,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
core,sensor_threshold_bug,failing,4,medium,6013,1312,0.012701,0.00,0.00,85.90,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
hashed,sensor_threshold_bug,failing,4,medium,6013,1312,0.012963,0.00,0.00,89.74,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,4,medium,6013,1312,0.012680,0.00,0.00,85.60,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
full,sensor_threshold_bug,failing,4,medium,6013,1312,0.013011,0.00,0.00,90.44,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
minimal,sensor_threshold_bug,failing,5,medium,6013,1312,0.012270,0.00,0.00,83.55,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
core,sensor_threshold_bug,failing,5,medium,6013,1312,0.012598,0.00,0.00,88.45,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
hashed,sensor_threshold_bug,failing,5,medium,6013,1312,0.012335,0.00,0.00,84.52,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,5,medium,6013,1312,0.012350,0.00,0.00,84.74,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
full,sensor_threshold_bug,failing,5,medium,6013,1312,0.012534,0.00,0.00,87.49,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
minimal,sensor_threshold_bug,failing,1,long,23677,5152,0.029290,0.00,0.00,261.74,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
core,sensor_threshold_bug,failing,1,long,23677,5152,0.029069,0.00,0.00,259.01,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
hashed,sensor_threshold_bug,failing,1,long,23677,5152,0.029236,0.00,0.00,261.07,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,1,long,23677,5152,0.029892,0.00,0.00,269.17,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
full,sensor_threshold_bug,failing,1,long,23677,5152,0.029349,0.00,0.00,262.47,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
minimal,sensor_threshold_bug,failing,2,long,23677,5152,0.029015,0.00,0.00,250.97,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
core,sensor_threshold_bug,failing,2,long,23677,5152,0.029382,0.00,0.00,255.41,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
hashed,sensor_threshold_bug,failing,2,long,23677,5152,0.030405,0.00,0.00,267.79,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,2,long,23677,5152,0.029554,0.00,0.00,257.49,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
full,sensor_threshold_bug,failing,2,long,23677,5152,0.030107,0.00,0.00,264.18,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
minimal,sensor_threshold_bug,failing,3,long,23677,5152,0.029682,0.00,0.00,238.60,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
core,sensor_threshold_bug,failing,3,long,23677,5152,0.029588,0.00,0.00,237.53,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
hashed,sensor_threshold_bug,failing,3,long,23677,5152,0.030241,0.00,0.00,244.98,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,3,long,23677,5152,0.029367,0.00,0.00,235.01,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
full,sensor_threshold_bug,failing,3,long,23677,5152,0.029568,0.00,0.00,237.30,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
minimal,sensor_threshold_bug,failing,4,long,23677,5152,0.029115,0.00,0.00,256.85,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
core,sensor_threshold_bug,failing,4,long,23677,5152,0.029649,0.00,0.00,263.39,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
hashed,sensor_threshold_bug,failing,4,long,23677,5152,0.029015,0.00,0.00,255.62,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,4,long,23677,5152,0.029784,0.00,0.00,265.04,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
full,sensor_threshold_bug,failing,4,long,23677,5152,0.029140,0.00,0.00,257.15,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
minimal,sensor_threshold_bug,failing,5,long,23677,5152,0.028551,0.00,0.00,245.53,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
core,sensor_threshold_bug,failing,5,long,23677,5152,0.030011,0.00,0.00,263.20,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
hashed,sensor_threshold_bug,failing,5,long,23677,5152,0.029391,0.00,0.00,255.69,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,5,long,23677,5152,0.029843,0.00,0.00,261.16,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
full,sensor_threshold_bug,failing,5,long,23677,5152,0.029868,0.00,0.00,261.47,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=256 capsule_bytes=5376 cycles=23677 commits=5152 notes=""measured"""
minimal,sensor_threshold_bug,failing,1,stress,94333,20512,0.099658,0.00,0.00,614.65,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=94333 commits=20512 notes=""measured"""
core,sensor_threshold_bug,failing,1,stress,94333,20512,0.098118,0.00,0.00,603.61,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=94333 commits=20512 notes=""measured"""
hashed,sensor_threshold_bug,failing,1,stress,94333,20512,0.106911,0.00,0.00,666.66,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=94333 commits=20512 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,1,stress,94333,20512,0.101239,0.00,0.00,625.99,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=94333 commits=20512 notes=""measured"""
full,sensor_threshold_bug,failing,1,stress,94333,20512,0.095330,0.00,0.00,583.61,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=94333 commits=20512 notes=""measured"""
minimal,sensor_threshold_bug,failing,2,stress,94333,20512,0.095525,0.00,0.00,565.54,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=256 capsule_bytes=5376 cycles=94333 commits=20512 notes=""measured"""
core,sensor_threshold_bug,failing,2,stress,94333,20512,0.098897,0.00,0.00,589.03,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=256 capsule_bytes=5376 cycles=94333 commits=20512 notes=""measured"""
hashed,sensor_threshold_bug,failing,2,stress,94333,20512,0.097592,0.00,0.00,579.94,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=256 capsule_bytes=5376 cycles=94333 commits=20512 notes=""measured"""
