benchmark,variant,seed,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,firmware_source,firmware_sha256,compiler_backed,notes
uart_command_bug,no_failure_edge,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,fallback_hex,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,false,"PASS replay benchmark=uart_command_bug variant=no_failure_edge seed=3 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,failing,1,PASS,PASS,PASS,6,6,PASS,PASS,PASS,231,99,24,fallback_hex,fa54d054a5702ffed90c23c78b8859f7d50fb1169068c4c4e6dcc7157c1a3fa5,false,"PASS replay benchmark=watchdog_timeout_bug variant=failing seed=1 property=6 events=11 cycles=99 commits=24 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,failing,2,PASS,PASS,PASS,6,6,PASS,PASS,PASS,231,99,24,fallback_hex,fa54d054a5702ffed90c23c78b8859f7d50fb1169068c4c4e6dcc7157c1a3fa5,false,"PASS replay benchmark=watchdog_timeout_bug variant=failing seed=2 property=6 events=11 cycles=99 commits=24 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,failing,3,PASS,PASS,PASS,6,6,PASS,PASS,PASS,231,99,24,fallback_hex,fa54d054a5702ffed90c23c78b8859f7d50fb1169068c4c4e6dcc7157c1a3fa5,false,"PASS replay benchmark=watchdog_timeout_bug variant=failing seed=3 property=6 events=11 cycles=99 commits=24 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,168,100000,17,fallback_hex,c213ec731f11e19ba979c0e8ad67d808f2325afa1c24682f103f30d25d0e030f,false,"PASS replay benchmark=watchdog_timeout_bug variant=fixed seed=1 property=0 events=8 cycles=100000 commits=17 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,168,100000,17,fallback_hex,c213ec731f11e19ba979c0e8ad67d808f2325afa1c24682f103f30d25d0e030f,false,"PASS replay benchmark=watchdog_timeout_bug variant=fixed seed=2 property=0 events=8 cycles=100000 commits=17 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,168,100000,17,fallback_hex,c213ec731f11e19ba979c0e8ad67d808f2325afa1c24682f103f30d25d0e030f,false,"PASS replay benchmark=watchdog_timeout_bug variant=fixed seed=3 property=0 events=8 cycles=100000 commits=17 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,no_failure_edge,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,378,100000,39,fallback_hex,fa54d054a5702ffed90c23c78b8859f7d50fb1169068c4c4e6dcc7157c1a3fa5,false,"PASS replay benchmark=watchdog_timeout_bug variant=no_failure_edge seed=1 property=0 events=18 cycles=100000 commits=39 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,no_failure_edge,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,378,100000,39,fallback_hex,fa54d054a5702ffed90c23c78b8859f7d50fb1169068c4c4e6dcc7157c1a3fa5,false,"PASS replay benchmark=watchdog_timeout_bug variant=no_failure_edge seed=2 property=0 events=18 cycles=100000 commits=39 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,no_failure_edge,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,378,100000,39,fallback_hex,fa54d054a5702ffed90c23c78b8859f7d50fb1169068c4c4e6dcc7157c1a3fa5,false,"PASS replay benchmark=watchdog_timeout_bug variant=no_failure_edge seed=3 property=0 events=18 cycles=100000 commits=39 notes=""record/replay capsule packets match"""
